OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,ListOfAllPropertyUseTypes,LargestPropertyUseType,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUseWN(kBtu),Electricity(kWh),ComplianceStatus,TotalGHGEmissions,GHGEmissionsIntensity,Âgebâtiment,out_clas,consumption_rate_Electricity,consumption_rate_Gas,consumption_rate_Steam,GFABuildingRate,GFAParkingRate,GFAPerBuilding,GFAPerFloor
1,2016,NonResidential,Hotel,98101.0,0659000030,7,DOWNTOWN,1.0,12,88434,Hotel,Hotel,60.0,84.30000305,189.0,7456910.0,1156514.25,Compliant,249.98,2.83,89,Low,High Usage,High Usage,High Usage,1.0,0.0,88434.0,7369.5
2,2016,NonResidential,Hotel,98101.0,0659000220,7,DOWNTOWN,1.0,11,103566,"Hotel, Parking, Restaurant",Hotel,61.0,97.90000153,179.3999939,8664479.0,950425.1875,Compliant,295.86,2.86,20,Low,High Usage,High Usage,Low Usage,0.85455,0.14545,103566.0,9415.091
3,2016,NonResidential,Hotel,98101.0,0659000475,7,DOWNTOWN,1.0,41,956110,Hotel,Hotel,43.0,97.69999695,244.10000609999997,73937112.0,14515435.0,Compliant,2089.28,2.19,47,Low,High Usage,High Usage,High Usage,0.79425,0.20575,956110.0,23319.756
5,2016,NonResidential,Hotel,98101.0,0659000640,7,DOWNTOWN,1.0,10,61320,Hotel,Hotel,56.0,113.3000031,224.0,6946800.5,811525.3125,Compliant,286.43,4.67,90,Low,High Usage,High Usage,High Usage,1.0,0.0,61320.0,6132.0
8,2016,NonResidential,Hotel,98121.0,0659000970,7,DOWNTOWN,1.0,18,175580,"Hotel, Parking, Swimming Pool",Hotel,75.0,118.6999969,215.60000609999997,14656503.0,1573448.625,Compliant,505.01,2.88,36,Low,High Usage,High Usage,Low Usage,0.64688,0.35312,175580.0,9754.444
9,2016,Nonresidential COS,Other,98101.0,0660000560,7,DOWNTOWN,1.0,2,97288,Police Station,Police Station,,141.6000061,320.5,12581712.0,2160443.75,Compliant,301.81,3.1,17,Low,High Usage,High Usage,Low Usage,0.61765,0.38235,97288.0,48644.0
10,2016,NonResidential,Hotel,98101.0,0660000825,7,DOWNTOWN,1.0,11,83008,Hotel,Hotel,27.0,74.5,154.6999969,6062767.5,823919.875,Compliant,176.14,2.12,90,Low,High Usage,High Usage,Low Usage,1.0,0.0,83008.0,7546.182
11,2016,NonResidential,Other,98101.0,0660000955,7,DOWNTOWN,1.0,8,102761,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,,68.80000305,152.3000031,7067881.5,1065842.75,Compliant,221.51,2.16,90,Low,High Usage,High Usage,High Usage,1.0,0.0,102761.0,12845.125
12,2016,NonResidential,Hotel,98104.0,0939000080,7,DOWNTOWN,1.0,15,163984,Hotel,Hotel,43.0,86.59999847,187.1999969,14194054.0,2138897.75,Compliant,392.16,2.39,112,Low,High Usage,High Usage,Low Usage,1.0,0.0,163984.0,10932.267
15,2016,NonResidential,Hotel,98101.0,0942000145,7,DOWNTOWN,1.0,11,153163,Hotel,Hotel,30.0,124.3000031,233.0,16646930.0,1813489.875,Compliant,691.26,4.51,47,Low,High Usage,High Usage,High Usage,0.87413,0.12587,153163.0,13923.909
16,2016,NonResidential,Hotel,98101.0,0942000165,7,DOWNTOWN,1.0,25,333176,Hotel,Hotel,36.0,80.40000153,199.3999939,27070114.0,5299838.5,Compliant,740.97,2.22,18,Low,High Usage,High Usage,High Usage,0.81643,0.18357,333176.0,13327.04
17,2016,NonResidential,Hotel,98104.0,0942000210,7,DOWNTOWN,1.0,9,65009,Hotel,Hotel,48.0,97.80000305,149.8000031,6358719.5,393610.6875,Compliant,328.23,5.05,88,Low,High Usage,High Usage,High Usage,1.0,0.0,65009.0,7223.222
18,2016,NonResidential,Hotel,98101.0,0942000235,7,DOWNTOWN,1.0,33,315952,"Hotel, Parking",Hotel,58.0,76.19999695,180.6999969,22524948.0,4075083.0,Compliant,648.62,2.05,36,Low,High Usage,High Usage,High Usage,0.81769,0.18231,315952.0,9574.303
19,2016,NonResidential,Hotel,98101.0,0942000265,7,DOWNTOWN,1.0,11,92190,"Hotel, Parking",Hotel,35.0,165.8999939,303.89999389999997,11179203.0,1123203.125,Compliant,511.39,5.55,94,Low,High Usage,High Usage,High Usage,0.72665,0.27335,92190.0,8380.909
21,2016,Nonresidential COS,Other,98154.0,0942000275,7,DOWNTOWN,1.0,11,412000,"Data Center, Library, Parking",Library,,51.09999847,156.0,18706912.0,5231916.0,Compliant,181.38,0.44,12,Low,High Usage,Low Usage,High Usage,0.86165,0.13835,412000.0,37454.545
22,2016,NonResidential,Other,98104.0,0942000350,7,DOWNTOWN,1.0,6,103911,"Fitness Center/Health Club/Gym, Office, Swimming Pool",Fitness Center/Health Club/Gym,,78.40000153,159.6000061,10192124.0,1305354.125,Compliant,433.86,4.18,86,Low,High Usage,High Usage,High Usage,1.0,0.0,103911.0,17318.5
23,2016,NonResidential,Hotel,98104.0,0942000430,7,DOWNTOWN,1.0,28,416281,"Hotel, Parking",Hotel,31.0,98.59999847,232.8000031,34351920.0,6220773.0,Compliant,802.89,1.93,33,Low,High Usage,High Usage,Low Usage,0.79581,0.20419,416281.0,14867.179
24,2016,NonResidential,Mixed Use Property,98104.0,0942000510,7,DOWNTOWN,1.0,5,57452,"Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",Social/Meeting Hall,,137.1000061,285.0,7877219.0,1103397.125,Compliant,273.02,4.75,109,Low,High Usage,High Usage,High Usage,1.0,0.0,57452.0,11490.4
25,2016,NonResidential,Hotel,98104.0,0942000610,7,DOWNTOWN,1.0,10,104352,Hotel,Hotel,39.0,97.30000305,225.5,10154608.0,1731644.125,Compliant,349.32,3.35,100,Low,High Usage,High Usage,High Usage,1.0,0.0,104352.0,10435.2
26,2016,NonResidential,Other,98104.0,0942000860,7,DOWNTOWN,1.0,10,540360,Courthouse,Courthouse,76.0,87.5,186.6999969,47023088.0,7138872.5,Compliant,1265.29,2.34,100,Low,High Usage,High Usage,Low Usage,1.0,0.0,540360.0,54036.0
27,2016,NonResidential,Other,98104.0,0942001010,3,DOWNTOWN,1.0,19,385274,Other,Other,,128.6000061,232.89999390000003,49539212.0,5351014.5,Compliant,1699.45,4.41,31,Low,High Usage,High Usage,Low Usage,1.0,0.0,385274.0,20277.579
28,2016,SPS-District K-12,K-12 School,98118.0,1102000138,2,SOUTHEAST,1.0,2,56228,K-12 School,K-12 School,95.0,29.10000038,64.59999847,1713623.5,274605.9063,Error - Correct Default Data,38.53,0.69,55,Low,High Usage,High Usage,Low Usage,1.0,0.0,56228.0,28114.0
29,2016,NonResidential,Hotel,98105.0,1142000755,4,NORTHEAST,1.0,6,88592,"Hotel, Parking",Hotel,84.0,63.29999924,148.5,3673186.75,664194.375,Compliant,90.01,1.02,15,Low,High Usage,High Usage,Low Usage,0.65475,0.34525,88592.0,14765.333
30,2016,NonResidential,University,98121.0,0660001420,7,DOWNTOWN,1.0,7,126593,College/University,College/University,,97.5,180.0,12183313.0,1362096.75,Compliant,388.04,3.07,88,Low,High Usage,High Usage,Low Usage,1.0,0.0,126593.0,18084.714
32,2016,NonResidential,Hotel,98101.0,0660001832,7,EAST,1.0,8,158676,"Hotel, Parking, Retail Store, Swimming Pool",Hotel,,46.29999924,58.79999924,5424942.0,167733.5,Compliant,256.57,1.62,25,Low,High Usage,High Usage,Low Usage,0.80904,0.19096,158676.0,19834.5
33,2016,NonResidential,Hotel,98101.0,0660002680,7,DOWNTOWN,1.0,10,171866,Hotel,Hotel,57.0,86.69999695,180.6000061,11171407.0,1644403.75,Compliant,328.63,1.91,15,Low,High Usage,High Usage,Low Usage,0.77726,0.22274,171866.0,17186.6
35,2016,NonResidential,Hotel,98121.0,0697000170,7,DOWNTOWN,1.0,5,68410,Hotel,Hotel,57.0,95.0,206.3000031,4557974.0,687675.625,Compliant,128.44,1.88,38,Low,High Usage,High Usage,Low Usage,0.76319,0.23681,68410.0,13682.0
36,2016,SPS-District K-12,K-12 School,98125.0,0752000170,5,NORTH,1.0,2,160645,K-12 School,K-12 School,75.0,47.5,75.69999695,7800349.5,570809.1875,Error - Correct Default Data,270.18,1.68,67,Low,High Usage,High Usage,Low Usage,1.0,0.0,160645.0,80322.5
38,2016,NonResidential,Small- and Mid-Sized Office,98070.0,0825049008,4,LAKE UNION,1.0,3,87262,"K-12 School, Multifamily Housing, Office, Other - Entertainment/Public Assembly",Office,,69.80000305,115.90000149999999,4703690.0,396495.6875,Compliant,157.77,1.81,110,Low,High Usage,High Usage,Low Usage,1.0,0.0,87262.0,29087.333
40,2016,NonResidential,Hotel,98105.0,0925049117,4,NORTHEAST,1.0,4,81871,Hotel,Hotel,29.0,82.19999695,164.8999939,6731281.5,884056.0,Compliant,215.0,2.63,22,Low,High Usage,High Usage,Low Usage,1.0,0.0,81871.0,20467.75
43,2016,Campus,Mixed Use Property,98108.0,0022000005,2,GREATER DUWAMISH,1.0,3,494835,"Energy/Power Station, Laboratory, Manufacturing/Industrial Plant, Non-Refrigerated Warehouse, Office",Office,8.0,233.10000609999997,400.2999878,471613856.0,44102076.0,Compliant,16870.98,34.09,24,Low,High Usage,High Usage,Low Usage,1.0,0.0,494835.0,164945.0
46,2016,NonResidential,Warehouse,98118.0,0323049024,2,GREATER DUWAMISH,3.0,2,714095,"Non-Refrigerated Warehouse, Office, Refrigerated Warehouse",Non-Refrigerated Warehouse,,45.79999924,143.8000031,44110016.0,13109951.0,Compliant,311.84,0.44,55,Low,High Usage,Low Usage,Low Usage,1.0,0.0,238031.667,357047.5
50,2016,SPS-District K-12,K-12 School,98199.0,0369000400,7,MAGNOLIA / QUEEN ANNE,1.0,2,54986,K-12 School,K-12 School,97.0,32.79999924,83.19999695,1802471.375,356855.0,Compliant,31.47,0.57,26,Low,High Usage,High Usage,Low Usage,1.0,0.0,54986.0,27493.0
51,2016,SPS-District K-12,K-12 School,98115.0,0425049022,4,NORTHEAST,1.0,2,175565,K-12 School,K-12 School,88.0,40.09999847,60.40000153,7329817.5,468840.5,Error - Correct Default Data,266.05,1.52,66,Low,High Usage,High Usage,Low Usage,1.0,0.0,175565.0,87782.5
52,2016,NonResidential,Small- and Mid-Sized Office,98107.0,0467000429,6,BALLARD,1.0,2,94900,"Non-Refrigerated Warehouse, Office",Office,57.0,68.90000153,165.8999939,6536359.5,1257791.75,Compliant,130.56,1.38,55,Low,High Usage,High Usage,Low Usage,1.0,0.0,94900.0,47450.0
53,2016,NonResidential,Small- and Mid-Sized Office,98144.0,0570000340,2,GREATER DUWAMISH,1.0,2,52554,"Office, Other - Education",Office,83.0,53.5,112.3000031,3150635.5,462998.0,Compliant,83.86,1.6,116,Low,High Usage,High Usage,Low Usage,1.0,0.0,52554.0,26277.0
54,2016,NonResidential,K-12 School,98103.0,0625049002,6,NORTHWEST,1.0,3,175015,K-12 School,K-12 School,95.0,45.09999847,80.40000153,7886505.5,785386.6875,Compliant,247.85,1.42,62,Low,High Usage,High Usage,Low Usage,1.0,0.0,175015.0,58338.333
55,2016,NonResidential,Self-Storage Facility,98121.0,0653000225,7,DOWNTOWN,1.0,3,70586,"Office, Self-Storage Facility, Vocational School",Self-Storage Facility,,33.09999847,79.19999695,2331573.25,439691.9063,Compliant,45.43,0.64,105,Low,High Usage,High Usage,Low Usage,1.0,0.0,70586.0,23528.667
56,2016,NonResidential,Hotel,98101.0,1975700040,7,DOWNTOWN,1.0,24,332210,Hotel,Hotel,67.0,46.40000153,121.8000031,16163194.0,3576906.75,Compliant,295.33,0.89,47,Low,High Usage,High Usage,Low Usage,0.38,0.62,332210.0,13842.083
57,2016,NonResidential,Large Office,98101.0,1975700200,7,DOWNTOWN,1.0,5,168115,"Data Center, Office, Retail Store",Office,78.0,56.29999924,176.6000061,9536161.0,2794888.75,Compliant,66.48,0.4,43,Low,High Usage,Low Usage,Low Usage,1.0,0.0,168115.0,33623.0
58,2016,NonResidential,Other,98101.0,1975700365,7,DOWNTOWN,1.0,2,57428,"Other - Mall, Personal Services (Health/Beauty, Dry Cleaning, etc)",Other - Mall,,21.60000038,48.40000153,1239429.75,209536.5938,Compliant,33.26,0.58,96,Low,High Usage,High Usage,Low Usage,1.0,0.0,57428.0,28714.0
59,2016,NonResidential,Small- and Mid-Sized Office,98101.0,1975700380,7,DOWNTOWN,1.0,8,59400,"Office, Retail Store",Office,14.0,88.30000305,412.2000122,5242479.5,1486510.375,Compliant,35.36,0.6,106,Low,High Usage,Low Usage,Low Usage,1.0,0.0,59400.0,7425.0
60,2016,NonResidential,Mixed Use Property,98101.0,1975700525,7,DOWNTOWN,1.0,2,52549,"Office, Other - Entertainment/Public Assembly, Restaurant",Other - Entertainment/Public Assembly,,299.0,495.5,15683742.0,1357696.125,Compliant,584.31,11.12,90,Low,High Usage,High Usage,Low Usage,1.0,0.0,52549.0,26274.5
62,2016,NonResidential,Hotel,98101.0,1976700010,7,DOWNTOWN,1.0,20,98634,"Hotel, Parking, Restaurant",Hotel,71.0,57.29999924,167.0,5078816.0,1257344.25,Compliant,59.19,0.6,86,Low,High Usage,High Usage,Low Usage,0.89818,0.10182,98634.0,4931.7
63,2016,NonResidential,Hotel,98101.0,1976700095,7,DOWNTOWN,1.0,34,994212,"Hotel, Parking, Swimming Pool",Hotel,63.0,82.80000305,184.5,82318072.0,13348631.0,Compliant,2451.58,2.47,34,Low,High Usage,High Usage,High Usage,0.85245,0.14755,994212.0,29241.529
65,2016,NonResidential,Hotel,98101.0,1977200050,7,DOWNTOWN,1.0,7,71150,"Hotel, Parking, Restaurant, Retail Store",Hotel,98.0,93.09999847,215.89999390000003,5348309.0,950732.8125,Compliant,134.38,1.89,31,Low,High Usage,High Usage,Low Usage,1.0,0.0,71150.0,10164.286
66,2016,NonResidential,Hotel,98101.0,1977201035,7,DOWNTOWN,1.0,7,122810,"Hotel, Other - Entertainment/Public Assembly, Retail Store",Hotel,99.0,49.59999847,74.09999847,6088417.5,379121.0938,Compliant,227.18,1.85,108,Low,High Usage,High Usage,Low Usage,1.0,0.0,122810.0,17544.286
67,2016,NonResidential,Hotel,98109.0,1991200730,7,LAKE UNION,1.0,5,113173,"Hotel, Parking",Hotel,86.0,76.90000153,172.1000061,5428403.5,863036.3125,Compliant,144.79,1.28,57,Low,High Usage,High Usage,Low Usage,0.62406,0.37594,113173.0,22634.6
68,2016,NonResidential,Hotel,98109.0,1991200935,7,LAKE UNION,1.0,7,150453,Hotel,Hotel,84.0,61.79999924,129.8000031,6835263.5,995342.5,Compliant,199.95,1.33,16,Low,High Usage,High Usage,Low Usage,0.76913,0.23087,150453.0,21493.286
69,2016,NonResidential,Hotel,98109.0,1991200940,7,LAKE UNION,1.0,6,116300,Hotel,Hotel,80.0,67.09999847,147.1000061,5941927.0,934483.3125,Compliant,162.39,1.4,19,Low,High Usage,High Usage,Low Usage,0.75752,0.24248,116300.0,19383.333
70,2016,NonResidential,Hotel,98119.0,1992200235,7,MAGNOLIA / QUEEN ANNE,1.0,6,155602,Hotel,Hotel,81.0,44.0,107.59999850000001,6849826.5,1336148.125,Compliant,152.76,0.98,18,Low,High Usage,High Usage,Low Usage,0.76386,0.23614,155602.0,25933.667
73,2016,NonResidential,K-12 School,98136.0,2125049015,3,EAST,1.0,3,56072,K-12 School,K-12 School,76.0,67.80000305,92.69999695,3800842.5,161743.0938,Compliant,146.34,2.61,105,Low,High Usage,High Usage,Low Usage,1.0,0.0,56072.0,18690.667
77,2016,NonResidential,Hotel,98109.0,2249000170,7,MAGNOLIA / QUEEN ANNE,1.0,4,122942,"Hotel, Parking",Hotel,94.0,69.0,138.6999969,5387530.0,710354.5,Compliant,171.64,1.4,17,Low,High Usage,High Usage,Low Usage,0.63486,0.36514,122942.0,30735.5
82,2016,NonResidential,Small- and Mid-Sized Office,98122.0,2254501944,3,CENTRAL,1.0,2,54984,Office,Office,71.0,66.0,144.5,3630147.25,579786.0,Compliant,87.98,1.6,54,Low,High Usage,High Usage,Low Usage,1.0,0.0,54984.0,27492.0
84,2016,NonResidential,Senior Care Community,98126.0,2324039001,1,SOUTHWEST,1.0,5,217603,"Parking, Senior Care Community",Senior Care Community,54.0,153.6999969,244.8000031,45547252.0,3465642.5,Compliant,1727.11,7.94,94,Low,High Usage,High Usage,Low Usage,1.0,0.0,217603.0,43520.6
85,2016,NonResidential,Senior Care Community,98133.0,2426039059,5,NORTHWEST,1.0,2,93397,Senior Care Community,Senior Care Community,1.0,181.6000061,320.0,16959754.0,1664565.75,Compliant,609.1,6.52,46,Low,High Usage,High Usage,Low Usage,1.0,0.0,93397.0,46698.5
86,2016,NonResidential,Hotel,98109.0,2467400430,7,LAKE UNION,1.0,6,84103,"Hotel, Parking",Hotel,74.0,59.79999924,156.6999969,3787499.0,824351.625,Compliant,67.06,0.8,8,Low,High Usage,High Usage,Low Usage,0.75349,0.24651,84103.0,14017.167
89,2016,NonResidential,Medical Office,98122.0,1978201270,3,EAST,0.0,3,179014,Medical Office,Medical Office,48.0,92.30000305,210.3000031,16527711.0,2897562.75,Compliant,430.84,2.41,51,Low,High Usage,High Usage,Low Usage,1.0,0.0,inf,59671.333
95,2016,NonResidential,Hotel,98104.0,1979200270,3,EAST,1.0,7,76631,Hotel,Hotel,71.0,94.59999847,171.6999969,7250730.5,779819.0,Compliant,262.75,3.43,108,Low,High Usage,High Usage,Low Usage,1.0,0.0,76631.0,10947.286
96,2016,NonResidential,Mixed Use Property,98104.0,1979200290,3,EAST,1.0,6,99780,"Data Center, Medical Office, Non-Refrigerated Warehouse, Office, Other, Parking",Medical Office,,207.3000031,504.29998780000005,15684371.0,2973421.25,Compliant,481.97,4.83,33,Low,High Usage,Low Usage,High Usage,0.90638,0.09362,99780.0,16630.0
98,2016,NonResidential,Retail Store,98109.0,1983200230,7,LAKE UNION,1.0,2,58320,Retail Store,Retail Store,96.0,17.20000076,28.79999924,1243027.75,106038.5,Compliant,39.06,0.67,87,Low,High Usage,High Usage,Low Usage,1.0,0.0,58320.0,29160.0
100,2016,NonResidential,Large Office,98109.0,1983200325,7,LAKE UNION,1.0,5,316306,"Office, Other, Parking, Retail Store",Office,96.0,48.40000153,144.3999939,13909270.0,3772301.0,Compliant,138.85,0.44,6,Low,High Usage,High Usage,Low Usage,1.0,0.0,316306.0,63261.2
102,2016,NonResidential,Hotel,98109.0,1984200065,3,LAKE UNION,1.0,7,282863,"Hotel, Parking",Hotel,37.0,85.59999847,189.1999969,20194606.0,3218245.0,Compliant,526.85,1.86,26,Low,High Usage,High Usage,Low Usage,0.84174,0.15826,282863.0,40409.0
103,2016,Nonresidential COS,Other,98109.0,1985200003,7,MAGNOLIA / QUEEN ANNE,1.0,1,389000,Other,Other,,64.5,152.1000061,23736924.0,4226010.0,Compliant,607.41,1.56,54,Low,High Usage,High Usage,High Usage,1.0,0.0,389000.0,389000.0
104,2016,Nonresidential COS,Other,98109.0,1985200003,7,MAGNOLIA / QUEEN ANNE,1.0,1,91213,Other,Other,,125.90000149999999,265.3999939,8181881.0,1100268.125,Compliant,344.2,3.77,54,Low,High Usage,Low Usage,High Usage,1.0,0.0,91213.0,91213.0
106,2016,Nonresidential COS,Other,98109.0,1985200305,7,MAGNOLIA / QUEEN ANNE,1.0,5,396085,Other,Other,,76.30000305,140.0,21257836.0,2125534.75,Compliant,804.2,2.03,78,Low,High Usage,Low Usage,High Usage,1.0,0.0,396085.0,79217.0
107,2016,NonResidential,Large Office,98109.0,1986200410,7,LAKE UNION,1.0,12,571329,"Office, Other, Parking",Office,91.0,64.19999695,176.3999939,40153432.0,9439097.0,Compliant,617.52,1.08,6,Low,High Usage,High Usage,Low Usage,1.0,0.0,571329.0,47610.75
110,2016,Nonresidential COS,Other,98109.0,1988200440,7,MAGNOLIA / QUEEN ANNE,1.0,2,52000,Other,Other,,51.59999847,109.5,2682242.75,379058.9063,Compliant,101.83,1.96,54,Low,High Usage,Low Usage,High Usage,1.0,0.0,52000.0,26000.0
112,2016,Nonresidential COS,Other,98109.0,1988200700,7,MAGNOLIA / QUEEN ANNE,1.0,2,262048,Other,Other,,70.30000305,175.1999969,20823520.0,3960341.75,Compliant,490.73,1.87,88,Low,High Usage,Low Usage,High Usage,1.0,0.0,262048.0,131024.0
114,2016,NonResidential,Large Office,98109.0,1988201155,7,MAGNOLIA / QUEEN ANNE,1.0,6,920598,"Office, Other, Parking",Office,93.0,51.79999924,131.6000061,38105108.0,8088294.5,Compliant,674.09,0.73,6,Low,High Usage,High Usage,Low Usage,0.6701,0.3299,920598.0,153433.0
115,2016,NonResidential,Small- and Mid-Sized Office,98033.0,1989200850,7,MAGNOLIA / QUEEN ANNE,1.0,4,76213,"Office, Other, Parking",Office,68.0,71.59999847,196.0,3647345.75,863039.875,Compliant,48.76,0.64,46,Low,High Usage,High Usage,Low Usage,0.65977,0.34023,76213.0,19053.25
116,2016,NonResidential,Hotel,98109.0,1989201125,7,MAGNOLIA / QUEEN ANNE,1.0,6,96910,"Hotel, Parking",Hotel,56.0,87.90000153,188.3999939,5274523.0,772863.625,Compliant,152.14,1.57,14,Low,High Usage,High Usage,Low Usage,0.61888,0.38112,96910.0,16151.667
117,2016,NonResidential,Hotel,98105.0,1142001871,4,NORTHEAST,2.0,4,50017,"Hotel, Swimming Pool",Hotel,53.0,110.5,205.8000031,5528580.5,623770.6875,Compliant,191.2,3.82,54,Low,High Usage,High Usage,Low Usage,1.0,0.0,25008.5,12504.25
119,2016,NonResidential,K-12 School,98112.0,1336800825,3,EAST,1.0,3,67743,K-12 School,K-12 School,34.0,44.79999924,89.30000305,3036464.0,392082.5938,Compliant,78.85,1.16,93,Low,High Usage,High Usage,Low Usage,1.0,0.0,67743.0,22581.0
120,2016,NonResidential,K-12 School,98112.0,1338800660,3,EAST,1.0,6,194104,K-12 School,K-12 School,100.0,37.09999847,60.09999847,7204080.0,553309.6875,Compliant,243.23,1.25,108,Low,High Usage,High Usage,Low Usage,1.0,0.0,194104.0,32350.667
121,2016,NonResidential,Small- and Mid-Sized Office,98144.0,1498303116,3,SOUTHEAST,1.0,3,99433,"Office, Parking",Office,63.0,78.19999695,245.60000609999997,4980737.5,1435451.25,Compliant,34.14,0.34,13,Low,High Usage,Low Usage,Low Usage,0.64044,0.35956,99433.0,33144.333
125,2016,SPS-District K-12,K-12 School,98108.0,1624049214,2,GREATER DUWAMISH,1.0,1,130862,K-12 School,K-12 School,61.0,54.29999924,93.5,7300977.5,663194.5,Error - Correct Default Data,238.48,1.82,59,Low,High Usage,High Usage,Low Usage,1.0,0.0,130862.0,130862.0
130,2016,SPS-District K-12,K-12 School,98119.0,1794501220,7,MAGNOLIA / QUEEN ANNE,1.0,2,93218,K-12 School,K-12 School,86.0,34.5,70.80000305,3216155.0,435743.8125,Error - Correct Default Data,84.75,0.91,52,Low,High Usage,High Usage,Low Usage,1.0,0.0,93218.0,46609.0
131,2016,NonResidential,Other,98115.0,1797500625,4,NORTHEAST,1.0,4,56521,Other,Other,,129.8999939,408.0,6367210.0,1863315.125,Compliant,44.32,0.78,75,Low,High Usage,Low Usage,Low Usage,1.0,0.0,56521.0,14130.25
132,2016,NonResidential,Other,98115.0,1797500715,4,NORTHEAST,1.0,2,206934,"Other, Parking",Other,,36.79999924,72.90000153,4384625.5,586489.8125,Compliant,133.58,0.65,87,Low,High Usage,High Usage,Low Usage,1.0,0.0,206934.0,103467.0
136,2016,NonResidential,Hotel,98133.0,1926049012,5,NORTHWEST,1.0,4,51390,"Hotel, Parking",Hotel,89.0,70.40000153,130.8999939,3616214.0,409815.0,Compliant,127.29,2.48,15,Low,High Usage,High Usage,Low Usage,1.0,0.0,51390.0,12847.5
137,2016,SPS-District K-12,K-12 School,98133.0,1926049025,5,NORTHWEST,1.0,2,131013,K-12 School,K-12 School,88.0,32.5,62.90000153,4290831.5,520365.6875,Error - Correct Default Data,124.92,0.95,53,Low,High Usage,High Usage,Low Usage,1.0,0.0,131013.0,65506.5
138,2016,SPS-District K-12,K-12 School,98133.0,1926049321,5,NORTHWEST,1.0,1,245587,K-12 School,K-12 School,92.0,52.40000153,89.09999847,12870916.0,1150648.125,Compliant,443.73,1.81,57,Low,High Usage,High Usage,Low Usage,1.0,0.0,245587.0,245587.0
139,2016,NonResidential,Hotel,98133.0,1926049434,5,NORTHWEST,1.0,3,69138,Hotel,Hotel,78.0,47.09999847,104.6999969,3323400.5,528396.6875,Compliant,89.02,1.29,14,Low,High Usage,High Usage,Low Usage,1.0,0.0,69138.0,23046.0
144,2016,NonResidential,Hotel,98104.0,1974600035,7,DOWNTOWN,1.0,5,190980,"Hotel, Parking",Hotel,98.0,34.09999847,84.0,6505995.0,1290419.25,Compliant,142.39,0.75,112,Low,High Usage,High Usage,Low Usage,1.0,0.0,190980.0,38196.0
145,2016,Nonresidential COS,Other,98111.0,1974700025,7,DOWNTOWN,1.0,6,284100,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,,78.40000153,192.0,14881950.0,2873101.25,Compliant,429.12,1.51,18,Low,High Usage,High Usage,High Usage,1.0,0.0,284100.0,47350.0
147,2016,NonResidential,Hospital,98107.0,2767703875,6,BALLARD,4.0,5,285333,"Hospital (General Medical & Surgical), Parking",Hospital (General Medical & Surgical),14.0,157.3000031,251.8000031,47602720.0,10327434.0,Compliant,1990.5,6.98,62,Low,High Usage,High Usage,Low Usage,1.0,0.0,71333.25,57066.6
163,2016,Nonresidential COS,Other,98104.0,5247801465,2,DOWNTOWN,1.0,4,61156,"Office, Other",Other,,132.6999969,337.10000610000003,9550716.0,2036128.25,Compliant,176.75,2.89,10,Low,High Usage,High Usage,Low Usage,1.0,0.0,61156.0,15289.0
167,2016,NonResidential,Other,98104.0,5247802715,2,DOWNTOWN,1.0,4,72820,Museum,Museum,,36.09999847,85.19999695,2095175.25,384428.3125,Compliant,46.26,0.64,106,Low,High Usage,High Usage,Low Usage,0.81022,0.18978,72820.0,18205.0
168,2016,NonResidential,Hotel,98109.0,5458300285,7,MAGNOLIA / QUEEN ANNE,1.0,4,162222,"Hotel, Parking",Hotel,76.0,70.5,151.1999969,8016521.0,1230205.625,Compliant,228.4,1.41,20,Low,High Usage,High Usage,Low Usage,0.91247,0.08753,162222.0,40555.5
169,2016,SPS-District K-12,K-12 School,98144.0,5700000455,2,SOUTHEAST,1.0,4,289588,K-12 School,K-12 School,90.0,33.0,82.30000305,9542598.0,1890317.75,Error - Correct Default Data,170.84,0.59,26,Low,High Usage,High Usage,Low Usage,1.0,0.0,289588.0,72397.0
170,2016,NonResidential,University,98122.0,6003000470,3,EAST,1.0,3,63330,College/University,College/University,,50.70000076,116.0,3284214.5,560100.6875,Compliant,74.33,1.17,101,Low,High Usage,High Usage,Low Usage,1.0,0.0,63330.0,21110.0
172,2016,Campus,University,98106.0,6171900005,1,DELRIDGE,27.0,2,441071,College/University,College/University,,85.19999695,202.6000061,41151732.0,7419277.5,Compliant,866.23,1.96,46,Low,High Usage,High Usage,Low Usage,1.0,0.0,16335.963,220535.5
173,2016,NonResidential,Small- and Mid-Sized Office,98115.0,6418100005,4,NORTHEAST,1.0,2,96300,"Data Center, Office",Office,,167.3999939,471.1000061000001,16274449.0,4095456.0,Compliant,222.02,2.31,14,Low,High Usage,High Usage,Low Usage,1.0,0.0,96300.0,48150.0
